Isuru_001|kiyavalā balalā amataka nokara ṭrayi karanna, pirimiyeku kāntāvakagen balāporottu vana namut kisidā æyaṭa nopavasana oba dænagata|kiyavalā balalā amataka nokara ṭrayi karanna, pirimiyeku kāntāvakagen balāporottu vana namut kisidā æyaṭa nopavasana oba dænagata
Isuru_002|mokada apiṭa ehema sab karapuvāma film ekē rasayak nætiva yanava|mokada apiṭa ehema sab karapuvāma film ekē rasayak nætiva yanava
Isuru_003|sabīta, iṉdalā hiṭalā pipena nelumat rækaganna bæri vena eka nam dukaṭa kāraṇayak.|sabīta, iṉdalā hiṭalā pipena nelumat rækaganna bæri vena eka nam dukaṭa kāraṇayak.
Isuru_004|piṭipassē iṉdagana giya ekkenā mā dihā depārak hærilā bæluvadō kiyalā maṭa edā hitunā|piṭipassē iṉdagana giya ekkenā mā dihā depārak hærilā bæluvadō kiyalā maṭa edā hitunā
Isuru_005|mudal hā janamādhya amātyaṁśayē atirēka lēkam tilakā jayasundara mahatmiyagē pradhānatvayen pævati mema sākacchāva|mudal hā janamādhya amātyaṁśayē atirēka lēkam tilakā jayasundara mahatmiyagē pradhānatvayen pævati mema sākacchāva
Isuru_006|avavāda ṭikak kiyala dæmma nam kavurut kiyavana ekak nǣ|avavāda ṭikak kiyala dæmma nam kavurut kiyavana ekak nǣ
Isuru_007|abhyantara vuvat, bāhira vuvat upādhiyak sampūrṇa kirīma pahasu kaṭayuttak noveyi.|abhyantara vuvat, bāhira vuvat upādhiyak sampūrṇa kirīma pahasu kaṭayuttak noveyi.
Isuru_008|enam raṇaviruvanṭa erehiva vides vinisuruvarun genvā naḍu æsiya yutu bavaṭa pasugiya dā eksat jātingē mānava|enam raṇaviruvanṭa erehiva vides vinisuruvarun genvā naḍu æsiya yutu bavaṭa pasugiya dā eksat jātingē mānava
Isuru_009|ē nikamma nova jātika samagiva saha saṁhiṉdayāva saṉdahā vana kāryālayē pradhāniyā lesaṭaya.|ē nikamma nova jātika samagiva saha saṁhiṉdayāva saṉdahā vana kāryālayē pradhāniyā lesaṭaya.
Isuru_010|nūtana grāmya ṭeli nāṭya karmāntaya tulin hā supar sṭār vasaṁgataya tulin, vişayaya baddha pramāṇika dænumak|nūtana grāmya ṭeli nāṭya karmāntaya tulin hā supar sṭār vasaṁgataya tulin, vişayaya baddha pramāṇika dænumak
Isuru_011|itin anavaśya avasthāvala meya pahata dækvena ākārayaṭa ivatkara tabā ganna puḷuvan|itin anavaśya avasthāvala meya pahata dækvena ākārayaṭa ivatkara tabā ganna puḷuvan
Isuru_012|ē rajjuravanṭa hiṭiyā bohoma lassana dū kumārikāvak‌|ē rajjuravanṭa hiṭiyā bohoma lassana dū kumārikāvak
Isuru_013|onna ehenam manamāla mahatænge katāva, śīta sṛtuva antima kāle unāṭa tavama sǣhenna sītalayi.|onna ehenam manamāla mahatænge katāva, śīta sṛtuva antima kāle unāṭa tavama sǣhenna sītalayi.
